seed,held_out_region,method,support_size,alpha
0,Southern Seaboard,ridge_support_only,32,10.0
0,Southern Seaboard,ridge_refit,32,1.7782794100389228
0,Northern Crescent,ridge_support_only,32,3.1622776601683795
0,Northern Crescent,ridge_refit,32,3.1622776601683795
0,Heartland,ridge_support_only,32,0.1
0,Heartland,ridge_refit,32,1.7782794100389228
0,Northern Great Plains,ridge_support_only,32,100.0
0,Northern Great Plains,ridge_refit,32,3.1622776601683795
0,Prairie Gateway,ridge_support_only,32,1.7782794100389228
0,Prairie Gateway,ridge_refit,32,5.623413251903491
0,Basin and Range,ridge_support_only,32,5.623413251903491
0,Basin and Range,ridge_refit,32,1.7782794100389228
1,Southern Seaboard,ridge_support_only,32,31.622776601683793
1,Southern Seaboard,ridge_refit,32,1.7782794100389228
1,Northern Crescent,ridge_support_only,32,3.1622776601683795
1,Northern Crescent,ridge_refit,32,3.1622776601683795
1,Heartland,ridge_support_only,32,1.7782794100389228
1,Heartland,ridge_refit,32,1.7782794100389228
1,Northern Great Plains,ridge_support_only,32,10000.0
1,Northern Great Plains,ridge_refit,32,1.7782794100389228
1,Prairie Gateway,ridge_support_only,32,0.01
1,Prairie Gateway,ridge_refit,32,5.623413251903491
1,Basin and Range,ridge_support_only,32,177.82794100389228
1,Basin and Range,ridge_refit,32,5.623413251903491
2,Southern Seaboard,ridge_support_only,32,56.23413251903491
2,Southern Seaboard,ridge_refit,32,1.7782794100389228
2,Northern Crescent,ridge_support_only,32,5.623413251903491
2,Northern Crescent,ridge_refit,32,3.1622776601683795
2,Heartland,ridge_support_only,32,5.623413251903491
2,Heartland,ridge_refit,32,1.7782794100389228
2,Northern Great Plains,ridge_support_only,32,10000.0
2,Northern Great Plains,ridge_refit,32,1.7782794100389228
2,Prairie Gateway,ridge_support_only,32,5.623413251903491
2,Prairie Gateway,ridge_refit,32,5.623413251903491
2,Basin and Range,ridge_support_only,32,562.341325190349
2,Basin and Range,ridge_refit,32,5.623413251903491
3,Southern Seaboard,ridge_support_only,32,10000.0
3,Southern Seaboard,ridge_refit,32,1.7782794100389228
3,Northern Crescent,ridge_support_only,32,5.623413251903491
3,Northern Crescent,ridge_refit,32,3.1622776601683795
3,Heartland,ridge_support_only,32,10000.0
3,Heartland,ridge_refit,32,1.7782794100389228
3,Northern Great Plains,ridge_support_only,32,17.78279410038923
3,Northern Great Plains,ridge_refit,32,1.7782794100389228
3,Prairie Gateway,ridge_support_only,32,5.623413251903491
3,Prairie Gateway,ridge_refit,32,5.623413251903491
3,Basin and Range,ridge_support_only,32,17.78279410038923
3,Basin and Range,ridge_refit,32,5.623413251903491
4,Southern Seaboard,ridge_support_only,32,31.622776601683793
4,Southern Seaboard,ridge_refit,32,1.7782794100389228
4,Northern Crescent,ridge_support_only,32,0.05623413251903491
4,Northern Crescent,ridge_refit,32,3.1622776601683795
4,Heartland,ridge_support_only,32,0.01
4,Heartland,ridge_refit,32,1.7782794100389228
4,Northern Great Plains,ridge_support_only,32,177.82794100389228
4,Northern Great Plains,ridge_refit,32,1.7782794100389228
4,Prairie Gateway,ridge_support_only,32,3.1622776601683795
4,Prairie Gateway,ridge_refit,32,5.623413251903491
4,Basin and Range,ridge_support_only,32,10.0
4,Basin and Range,ridge_refit,32,3.1622776601683795
